Dp,y
-0.1458,-4.761823
-0.168,-4.744268
0.8363,-4.744438
-0.0667,-4.738972
0.3861,-4.745336
0.7958,-4.740559
1.412,-4.724656
0.0904,-4.711282
-0.0257,-4.705585
0.2507,-4.714592
-0.5658,-4.727464
1.3161,-4.745715
0.4532,-4.753767
0.0769,-4.746313
0.772,-4.736673
1.1846,-4.719773
0.9952,-4.712902
0.6939,-4.704059
0.674,-4.700235
0.8195,-4.70657
0.8719,-4.706152
1.0506,-4.709904
0.832,-4.703936
1.2116,-4.700123
0.5264,-4.704806
0.9831,-4.703356
0.3276,-4.723618
0.4858,-4.748044
0.3606,-4.746487
0.5461,-4.727365
0.483,-4.708581
1.0386,-4.700339
0.6974,-4.685358
0.4994,-4.694085
0.0302,-4.690117
0.989,-4.676897
-0.0229,-4.683297
0.5241,-4.686363
-0.0512,-4.699588
-0.1805,-4.693238
0.7722,-4.684719
0.568,-4.674569
0.1614,-4.656723
1.01,-4.647342
0.3374,-4.640455
0.2906,-4.634975
0.7852,-4.64074
0.2387,-4.630702
0.0004,-4.620091
0.3776,-4.606489
0.7412,-4.603306
0.1409,-4.584365
0.5034,-4.578945
0.5957,-4.572463
0.2715,-4.571863
1.147,-4.553256
0.3478,-4.541507
0.6542,-4.528986
0.6783,-4.509612
1.1076,-4.492564
1.0301,-4.492501
0.6793,-4.485288
1.193,-4.483551
0.5428,-4.480424
0.1764,-4.476889
0.6567,-4.465316
1.1485,-4.462587
1.88167,-4.453248
1.03357,-4.438576
1.11362,-4.433481
1.61215,-4.437226
1.17583,-4.425393
1.37128,-4.42623
1.49859,-4.423414
1.22645,-4.430416
1.69878,-4.439096
1.55498,-4.442945
0.65554,-4.434176
1.19873,-4.446755
1.55828,-4.423396
1.76891,-4.426372
1.26412,-4.424262
1.19982,-4.427479
1.25002,-4.408271
0.6719,-4.391347
1.17065,-4.383527
1.32535,-4.367642
1.41616,-4.346659
2.10267,-4.346285
2.05267,-4.349705
2.26474,-4.343315
1.46758,-4.350977
1.99712,-4.35024
3.34676,-4.365823
2.72589,-4.377319
2.48747,-4.399138
1.50672,-4.391255
2.32304,-4.377389
1.69109,-4.366222
1.23124,-4.349821
1.32472,-4.347441
1.43568,-4.345795
1.70164,-4.338584
1.59773,-4.327303
2.00979,-4.313677
1.1464,-4.296512
1.76151,-4.301995
1.47022,-4.295599
2.36893,-4.266979
1.76648,-4.2613
2.12097,-4.251948
2.20659,-4.254498
2.30076,-4.257994
1.95361,-4.251962
1.95777,-4.257006
2.09874,-4.249786
2.36126,-4.276602
2.21986,-4.279028
2.84484,-4.269376
2.552906,-4.252479
1.632246,-4.258194
2.235741,-4.256571
1.88299,-4.27351
1.463496,-4.29104
1.1963378,-4.290393
1.4298396,-4.301093
0.8836486,-4.302292
0.785127,-4.295926
0.838508,-4.27589
0.780927,-4.263767
1.156154,-4.24876
1.129392,-4.227575
0.743065,-4.217515
0.901643,-4.21419
0.830796,-4.21311
0.89011,-4.207797
0.835653,-4.204107
0.62889,-4.196552
0.89717,-4.194017
