year,spirits,price,income
1871,1.9565,1.9176,1.7669
1872,1.9794,1.9059,1.7766
1873,2.012,1.8798,1.7764
1874,2.0449,1.8727,1.7942
1875,2.0561,1.8984,1.8156
1876,2.0678,1.9137,1.8083
1877,2.0561,1.9176,1.8083
1878,2.0428,1.9176,1.8067
1879,2.029,1.942,1.8166
1880,1.998,1.9547,1.8041
1881,1.9884,1.9379,1.8053
1882,1.9835,1.9462,1.8242
1883,1.9773,1.9504,1.8395
1884,1.9748,1.9504,1.8464
1885,1.9629,1.9723,1.8492
1886,1.9396,2,1.8668
1887,1.9309,2.0097,1.8783
1888,1.9271,2.0146,1.8914
1889,1.9239,2.0146,1.9166
1890,1.9414,2.0097,1.9363
1891,1.9685,2.0097,1.9548
1892,1.9727,2.0097,1.9453
1893,1.9736,2.0048,1.9292
1894,1.9499,2.0097,1.9209
1895,1.9432,2.0296,1.951
1896,1.9569,2.0399,1.9776
1897,1.9647,2.0399,1.9814
1898,1.971,2.0296,1.9819
1899,1.9719,2.0146,1.9828
1900,1.9956,2.0245,2.0076
1901,2,2,2
1902,1.9904,2.0048,1.9936
1903,1.9752,2.0048,1.9933
1904,1.9494,2,1.9797
1905,1.9332,1.9952,1.9772
1906,1.9136,1.9952,1.9924
1907,1.9091,1.9905,2.0117
1908,1.9136,1.9813,2.0204
1909,1.8886,1.9905,2.0018
1910,1.7945,1.9859,2.0038
1911,1.7644,2.0518,2.0099
1912,1.7817,2.0474,2.0174
1913,1.7784,2.0341,2.0279
1914,1.7945,2.0255,2.0359
1915,1.7888,2.0341,2.0216
1916,1.8751,1.9445,1.9896
1917,1.7853,1.9939,1.9843
1918,1.6075,2.2082,1.9764
1919,1.5185,2.27,1.9965
1920,1.6513,2.243,2.0652
1921,1.6247,2.2567,2.0369
1922,1.5391,2.2988,1.9723
1923,1.4922,2.3723,1.9797
1924,1.4606,2.4105,2.0136
1925,1.4551,2.4081,2.0165
1926,1.4425,2.4081,2.0213
1927,1.4023,2.4367,2.0206
1928,1.3991,2.4284,2.0563
1929,1.3798,2.431,2.0579
1930,1.3782,2.4363,2.0649
1931,1.3366,2.4552,2.0582
1932,1.3026,2.4838,2.0517
1933,1.2592,2.4958,2.0491
1934,1.2635,2.5048,2.0766
1935,1.2549,2.5017,2.089
1936,1.2527,2.4958,2.1059
1937,1.2763,2.4838,2.1205
1938,1.2906,2.4636,2.1205
1939,1.2721,2.458,2.1182
