date,ibm
19260130,-0.010381
19260227,-0.024476
19260331,-0.115591
19260430,0.089783
19260528,0.036932
19260630,0.068493
19260731,0
19260831,0
19260930,0.065104
19261030,0.032258
19261130,0.03125
19261231,0.030303
19270131,0.023041
19270228,0.081081
19270331,0.183333
19270430,0.078571
19270531,0.149007
19270630,-0.048991
19270730,0
19270831,0.119632
19270930,0.019178
19271031,-0.008152
19271130,0.090411
19271231,0.218593
19280131,0.041667
19280229,0.028
19280331,0.004864
19280430,-0.006843
19280531,-0.015748
19280630,-0.004
19280731,-0.010142
19280831,0.071721
19280929,0.078394
19281031,0.035778
19281130,0.105354
19281231,0.031953
19290131,-0.020032
19290228,0.053148
19290328,0.001553
19290430,0.124219
19290531,-0.011814
19290629,0.188467
19290731,0.109524
19290830,0.034335
19290930,-0.048237
19291031,-0.189041
19291127,-0.222973
19291231,0.194261
19300131,0.010802
19300228,0.067939
19300331,0.049321
19300430,-0.004121
19300529,0.075862
19300630,-0.105128
19300731,0
19300829,0.040462
19300930,-0.1125
19301031,-0.097946
19301129,0.022767
19301231,0.089555
19310131,0.025
19310228,0.125203
19310331,-0.049133
19310430,-0.023006
19310529,-0.211931
19310630,0.191235
19310731,-0.091216
19310831,0.070632
19310930,-0.229167
19311031,0.114155
19311130,-0.016393
19311231,-0.074687
19320130,-0.045564
19320229,0.023869
19320331,-0.042945
19320430,-0.166667
19320531,-0.1625
19320630,-0.048507
19320730,0.200803
19320831,0.351171
19320930,0.024752
19321031,-0.132353
19321130,-0.097458
19321231,0.14554
19330131,0.020833
19330228,-0.167347
19330331,0
19330429,0.470588
19330531,0.081081
19330630,0.1375
19330731,0.02963
19330831,0.061151
19330930,-0.094915
19331031,-0.016098
19331129,0.124158
19331230,-0.011986
19340131,0.029772
19340228,-0.020408
19340331,-0.065972
19340430,0.075188
19340531,-0.066433999999999993
19340630,0.057116
19340731,-0.043868
19340831,0.029963
19340929,0.036364
19341031,-0.014184
19341130,0.111511
19341231,0.016505
19350131,-0.006557
19350228,0.049505
19350330,0.01022
19350430,0.09348
19350531,-0.008621
19350629,0.034783
19350731,0.033898
19350831,-0.006831
19350930,-0.013755
19351031,0.014065
19351130,0.012483
19351231,0.014938
19360131,0.024527
19360229,-0.04788
19360331,0.034483
19360430,-0.092437
19360529,0.024691
19360630,0.045181
19360731,-0.045058
19360831,0.022831
19360930,0.024182
19361031,0.002565
19361130,0.114035
19361231,-0.001312
19370130,-0.044371
19370227,-0.015939
19370331,-0.045387
19370430,0.016419
19370528,-0.070769
19370630,0.003311
19370731,0.07
19370831,-0.065421000000000007
19370930,-0.015
19371030,-0.022222
19371130,-0.076923
19371231,0.047348
19380131,0.071298
19380228,0.047782
19380331,-0.100489
19380430,0.069231
19380531,0.017986
19380630,0.095406
19380730,0.065147
19380831,-0.006116
19380930,0.012308
19381031,0.070552
19381130,0.008596
19381231,0.059659
19390131,-0.039865
19390228,0.037298
19390331,-0.034057
19390429,-0.014881
19390531,0.070242
19390630,-0.003529
19390731,0.068570999999999993
19390831,-0.093583
19390930,-0.014749
19391031,0.087613
19391130,0
19391230,0.039583
19400131,-0.028956
19400229,0.051318
19400330,-0.006794
19400430,-0.013361
19400531,-0.161796
19400629,-0.047619
19400731,0.025271
19400831,0.005282
19400930,0.094571
19401031,0.017771
19401130,0.006349
19401231,0.01735
19410131,7.04e-4
19410228,-0.014778
19410331,0.03375
19410430,-0.081807
19410531,0.066489
19410630,0.034913
19410731,0.025953
19410830,-0.007115
19410930,0.025478
19411031,-0.031348
19411129,0.003236
19411231,-0.016129
19420131,-0.111672
19420228,-0.037182
19420331,-0.036585
19420430,-0.008547
19420529,0.039332
19420630,0.105236
19420731,0.028463
19420831,0.01845
19420930,0.003623
19421031,0.020073
19421130,0.059034
19421231,0.02027
19430130,0.079849
19430227,0.011382
19430331,0.042208
19430430,0.006231
19430529,0.049536
19430630,0.008929
19430731,-0.014749
19430831,0.032934
19430930,0.019006
19431030,-0.010043
19431130,-0.031884
19431231,0.045317
19440131,-0.028902
19440229,-0.021875
19440331,0.108065
19440429,-0.009461
19440531,0.01396
19440630,0.005848
19440731,0.012718
19440831,0.037675
19440930,0.006974
19441031,-0.036011
19441130,0.064655
19441230,0.006803
19450131,-0.01527
19450228,0.049712
19450331,-0.008997
19450430,0.044693
19450531,0.044118
19450630,-0.015484
19450731,0.005242
19450831,0.014342
19450929,0.041451
19451031,0.104478
19451130,0.099099
19451231,-0.018557
19460131,0.02416
19460228,0.033333
19460330,0.0575
19460430,0.125296
19460531,0.048319
19460628,-0.016129
19460731,0.012295
19460830,-0.062753
19460930,-0.082609
19461031,-0.009479
19461130,0.00299
19461231,0.00961
19470131,0.051755
19470228,-0.038462
19470331,-0.011848
19470430,-0.071942
19470529,0.041344
19470630,0.03
19470731,0.043689
19470829,0
19470930,0.002342
19471031,0.011682
19471129,0.055139
19471231,0.05756
19480131,-0.0875
19480228,0.078767
19480331,0.048507
19480430,0.007117
19480528,0.038869
19480630,0
19480730,-0.047945
19480831,0.084532
19480930,-0.048414
19481030,0.080702
19481130,-0.028409
19481231,0.049622
19490131,0.053365
19490228,-0.047923
19490331,0.048986
19490430,0.030596
19490531,0
19490630,-0.04717
19490729,0.10231
19490831,0
19490930,0.060241
19491031,0.117898
19491130,-0.013977
19491231,0.176166
19500131,0.054626
19500228,-0.008772
19500331,0.037778
19500429,-0.019272
19500531,0.021834
19500630,-0.098712
19500731,-0.095238
