,EUR,JPY,GBP,AUD,CHF,CAD,KRW,MXN,INR,BRL,EGP,MUR,KES,NGN,ZAR
31/12/1997,1.0991,130.635,1.6475,1.53163,1.462,1.42955,1695,8.07,39.2,1.11605,3.4025,22.20499,63.04999,75.71999,4.8665
01/01/1998,1.0991,130.635,1.6475,1.53163,1.462,1.42955,1695,8.07,39.2,1.11605,3.4025,22.20499,63.04999,75.71999,4.8665
02/01/1998,1.09575,132.405,1.645,1.53658,1.465,1.42485,1695,8.04,39.29999,1.11605,3.3945,22.14999,63.14999,75.91649,4.8815
05/01/1998,1.0835,133.575,1.6295,1.55037,1.4823,1.42335,1780,8.032,39.39999,1.11605,3.402,22.27499,62.75,76,4.9165
06/01/1998,1.0808,133.72,1.6243,1.57234,1.4805,1.43225,1746.5,8.0495,39.47499,1.1161,3.40324,22.42499,62.64999,75.85399,4.945
07/01/1998,1.0836,131.57,1.62575,1.57084,1.4783,1.42905,1749,8.045,39.64999,1.11705,3.4055,22.45,62.45,75.26799,4.9225
08/01/1998,1.0843,132.65,1.613,1.57209,1.475,1.43125,1787.5,8.085,39.64999,1.11775,3.406,22.42499,62.39999,75.26799,4.9485
09/01/1998,1.0835,132.03,1.6127,1.55353,1.477,1.43035,1809,8.285,39.75,1.1171,3.4055,22.375,62.2,75.66299,4.9415
12/01/1998,1.084,132.685,1.6225,1.56373,1.478,1.43365,1737,8.26,39.89999,1.1181,3.406,22.5,62.25,75.60999,4.9915
13/01/1998,1.086,131.45,1.63385,1.56055,1.4783,1.43405,1764,8.18,39.84999,1.11805,3.40324,22.47499,60,75.63499,4.967
14/01/1998,1.0843,130.955,1.629,1.53775,1.483,1.43275,1662.5,8.21,40.2,1.119,3.40635,22.45999,60.09999,75.67999,4.9475
15/01/1998,1.0798,129.835,1.631,1.53798,1.4978,1.43575,1604,8.285,40.64999,1.117,3.40575,22.45499,59.45,75.5,4.9805
16/01/1998,1.0782,129.255,1.634,1.51744,1.4977,1.43695,1619,8.195,39.79999,1.12075,3.406,22.50499,59.75,76.03999,4.9765
19/01/1998,1.0772,129.025,1.63675,1.50398,1.49775,1.43785,1583,8.18,39.04999,1.1194,3.4081,22.52499,60.09999,76.09,4.9783
20/01/1998,1.0805,128.425,1.6267,1.50692,1.4955,1.44175,1641,8.1875,39,1.12005,3.40475,22.575,60.09999,76.09,4.975
21/01/1998,1.0848,127.015,1.63135,1.50965,1.47535,1.44505,1724,8.27,38.75,1.12005,3.40374,22.47499,60.575,80.92999,4.958
22/01/1998,1.0926,127.175,1.6493,1.51631,1.469,1.45255,1757,8.285,38.7,1.12005,3.435,22.39999,61.2,80.77299,4.943
23/01/1998,1.1083,125.6,1.6715,1.51103,1.4397,1.45195,1746,8.2975,38.625,1.12105,3.415,22.45,61.34999,81.42499,4.919
26/01/1998,1.0991,126.505,1.6571,1.48743,1.4545,1.45025,1678.5,8.284,38.59999,1.12105,3.40374,22.39999,60,81,4.9175
27/01/1998,1.1022,125.355,1.6427,1.47448,1.4492,1.45635,1678.5,8.308,38.25,1.12205,3.40374,22.47499,60.45,81.21999,4.898
28/01/1998,1.08785,125.055,1.64235,1.4745,1.4645,1.45815,1680,8.386,38.95,1.123,3.414,22.325,60.14999,81.21999,4.9165
29/01/1998,1.0799,125.85,1.639,1.48279,1.473,1.46535,1680,8.48,38.54999,1.123,3.4135,22.625,59.93999,81.21999,4.9245
30/01/1998,1.079,127.025,1.6335,1.48987,1.47675,1.45425,1524,8.452,38.64999,1.12305,3.4125,22.77499,60.04999,81.23999,4.933
02/02/1998,1.0905,126.45,1.63935,1.46114,1.473,1.45275,1556,8.41,38.95,1.12295,3.4025,22.75,59.84999,84.5,4.93
03/02/1998,1.0893,125.83,1.646,1.46114,1.464,1.44765,1580.5,8.386,38.75,1.12405,3.4135,22.825,59.79999,82.06,4.9325
04/02/1998,1.0955,123.715,1.6565,1.47791,1.4505,1.44685,1608,8.42,38.7,1.12405,3.40274,22.825,60.5,82.45999,4.9175
05/02/1998,1.1032,123.6,1.6545,1.46486,1.4445,1.43935,1604,8.415,38.7,1.12405,3.40274,22.66499,61.2,82.51999,4.9055
06/02/1998,1.0903,123.875,1.6435,1.47821,1.458,1.43165,1554,8.43,38.64999,1.12505,3.4135,22.66499,61,82.78,4.9005
09/02/1998,1.0846,124.13,1.63,1.49121,1.46525,1.43345,1557,8.481,38.7,1.12505,3.40274,22.89999,61.14999,82.78,4.914
10/02/1998,1.0903,123.245,1.6257,1.46692,1.4613,1.43415,1584,8.441,38.67499,1.12605,3.4025,22.75,61.17499,83.37,4.92
11/02/1998,1.08525,123.54,1.63255,1.47102,1.4625,1.43925,1601.5,8.423,38.7,1.12605,3.4148,22.52499,61.075,83.89999,4.9305
12/02/1998,1.092,124.685,1.6397,1.47644,1.453,1.43825,1625.5,8.448,38.75,1.12605,3.4025,22.83499,61.09999,84,4.9365
13/02/1998,1.0867,125.19,1.6415,1.48237,1.4607,1.44395,1621.5,8.465,38.7,1.12715,3.4025,22.825,61.04999,84.14,4.934
16/02/1998,1.0882,125.92,1.6387,1.50465,1.46,1.44505,1665,8.48,38.84999,1.12705,3.4025,22.86499,60.92499,83.84,4.9355
17/02/1998,1.0832,126.535,1.6327,1.49903,1.473,1.43855,1688.5,8.475,38.84999,1.12805,3.40725,22.89999,60.59999,84,4.937
18/02/1998,1.0857,126.45,1.63765,1.49098,1.471,1.43225,1710,8.535,38.79999,1.12805,3.405,22.905,60.25,84.28999,4.9425
19/02/1998,1.0888,125.945,1.63715,1.48943,1.4667,1.42125,1670.5,8.542,38.855,1.129,3.41,22.875,60.2,83.73999,4.943
20/02/1998,1.0865,127.83,1.6375,1.48214,1.4675,1.41955,1657.5,8.59,38.84999,1.12905,3.414,22.86499,60.25,84.31999,4.948
23/02/1998,1.1004,127.815,1.647,1.50286,1.4493,1.42335,1661.5,8.625,39.2,1.12905,3.405,22.75,59.89999,84.26999,4.9365
24/02/1998,1.0997,127.955,1.65,1.50036,1.451,1.42185,1654,8.58,39.25,1.12905,3.405,22.765,60,84.39,4.9375
25/02/1998,1.0882,128.53,1.6438,1.49768,1.4683,1.41965,1642.5,8.577,39.25,1.12895,3.4095,22.75,60.04999,84.28349,4.9485
26/02/1998,1.0894,127.22,1.6445,1.48963,1.4685,1.42055,1654.5,8.565,39.26999,1.12955,3.40374,22.79999,59.97499,84.43999,4.948
27/02/1998,1.0884,126.125,1.64425,1.47798,1.4665,1.42375,1633,8.52,39.34999,1.13,3.40374,22.89999,60,84.87999,4.9465
02/03/1998,1.09025,125.505,1.64785,1.4637,1.4667,1.41865,1550.5,8.515,39.5,1.13005,3.40374,22.78,59.95,84.87999,4.9285
03/03/1998,1.0933,126.205,1.65025,1.46756,1.46845,1.42205,1555,8.55,39.48,1.13005,3.40825,22.855,59.97499,84.87999,4.9305
04/03/1998,1.0884,126.725,1.6473,1.48302,1.48025,1.42155,1564.5,8.59,39.45,1.13045,3.405,22.875,60.09999,84.64,4.9315
05/03/1998,1.0792,127.885,1.634,1.48921,1.4928,1.41845,1601,8.636,39.5,1.13105,3.405,22.855,60.04999,84.60999,4.963
06/03/1998,1.08,127.685,1.6355,1.49166,1.491,1.41845,1636.5,8.6,39.5,1.13105,3.4125,22.98499,60.375,84.60999,4.984
09/03/1998,1.0833,127.805,1.639,1.50217,1.48715,1.40965,1613,8.64,39.5,1.132,3.40374,23.02499,60.75,84.48999,4.977
10/03/1998,1.083,127.45,1.6408,1.4932,1.4897,1.40915,1593.5,8.644,39.5,1.13205,3.405,23,60.25,84.37999,4.9735
11/03/1998,1.0826,129.425,1.64815,1.4979,1.4905,1.40755,1581.5,8.57,39.45,1.13205,3.41325,23.015,60.2,84.48,4.982
12/03/1998,1.085,129.105,1.657,1.49746,1.48615,1.41015,1549,8.565,39.46999,1.13215,3.416,22.84999,60,84.43999,4.9815
13/03/1998,1.0912,127.85,1.6715,1.485,1.4755,1.41255,1522.5,8.605,39.45,1.13305,3.4175,23.04999,60.25,85,4.9745
16/03/1998,1.0906,129.62,1.668,1.49209,1.48,1.41225,1461.5,8.593,39.45,1.13305,3.41775,23.09999,60.14999,85.09999,4.9685
17/03/1998,1.0904,128.85,1.6747,1.48898,1.4795,1.41705,1468,8.567,39.54999,1.13305,3.40975,23.06499,60.02499,84.56999,4.9695
18/03/1998,1.0867,130.045,1.67115,1.50533,1.4918,1.41935,1485.5,8.553,39.52499,1.13405,3.4095,23.27499,60.09999,84.5,4.974
19/03/1998,1.0845,130.84,1.6665,1.50535,1.4963,1.41815,1473,8.565,39.54999,1.13405,3.4175,23.17499,60.06999,84.75,4.9775
20/03/1998,1.0847,130.45,1.6685,1.50853,1.4985,1.41905,1448,8.555,39.47499,1.1341,3.4185,23.28999,60,84.75,4.9785
