,ZAR
31/12/1997,4.8665
01/01/1998,4.8665
02/01/1998,4.8815
05/01/1998,4.9165
06/01/1998,4.945
07/01/1998,4.9225
08/01/1998,4.9485
09/01/1998,4.9415
12/01/1998,4.9915
13/01/1998,4.967
14/01/1998,4.9475
15/01/1998,4.9805
16/01/1998,4.9765
19/01/1998,4.9783
20/01/1998,4.975
21/01/1998,4.958
22/01/1998,4.943
23/01/1998,4.919
26/01/1998,4.9175
27/01/1998,4.898
28/01/1998,4.9165
29/01/1998,4.9245
30/01/1998,4.933
02/02/1998,4.93
03/02/1998,4.9325
04/02/1998,4.9175
05/02/1998,4.9055
06/02/1998,4.9005
09/02/1998,4.914
10/02/1998,4.92
11/02/1998,4.9305
12/02/1998,4.9365
13/02/1998,4.934
16/02/1998,4.9355
17/02/1998,4.937
18/02/1998,4.9425
19/02/1998,4.943
20/02/1998,4.948
23/02/1998,4.9365
24/02/1998,4.9375
25/02/1998,4.9485
26/02/1998,4.948
27/02/1998,4.9465
02/03/1998,4.9285
03/03/1998,4.9305
04/03/1998,4.9315
05/03/1998,4.963
06/03/1998,4.984
09/03/1998,4.977
10/03/1998,4.9735
11/03/1998,4.982
12/03/1998,4.9815
13/03/1998,4.9745
16/03/1998,4.9685
17/03/1998,4.9695
18/03/1998,4.974
19/03/1998,4.9775
20/03/1998,4.9785
23/03/1998,4.9755
24/03/1998,4.976
25/03/1998,4.969
26/03/1998,4.971
27/03/1998,4.972
30/03/1998,5.0235
31/03/1998,5.0345
01/04/1998,5.0495
02/04/1998,5.039
03/04/1998,5.0385
06/04/1998,5.0525
07/04/1998,5.0535
08/04/1998,5.04
09/04/1998,5.0395
10/04/1998,5.0375
13/04/1998,5.0375
14/04/1998,5.0335
15/04/1998,5.034
16/04/1998,5.0435
17/04/1998,5.0365
20/04/1998,5.0515
21/04/1998,5.0455
22/04/1998,5.047
23/04/1998,5.059
24/04/1998,5.0505
27/04/1998,5.0495
28/04/1998,5.0445
29/04/1998,5.0505
30/04/1998,5.055
01/05/1998,5.0485
04/05/1998,5.058
05/05/1998,5.057
06/05/1998,5.062
07/05/1998,5.0625
08/05/1998,5.0615
11/05/1998,5.0645
12/05/1998,5.078
13/05/1998,5.0825
14/05/1998,5.083
15/05/1998,5.0885
18/05/1998,5.0985
19/05/1998,5.101
20/05/1998,5.11
21/05/1998,5.0815
22/05/1998,5.155
25/05/1998,5.1425
26/05/1998,5.125
27/05/1998,5.1495
28/05/1998,5.1855
29/05/1998,5.156
01/06/1998,5.2065
02/06/1998,5.1365
03/06/1998,5.112
04/06/1998,5.112
05/06/1998,5.1375
08/06/1998,5.1575
09/06/1998,5.1685
10/06/1998,5.225
11/06/1998,5.265
12/06/1998,5.3275
15/06/1998,5.3875
16/06/1998,5.357
17/06/1998,5.313
18/06/1998,5.4115
19/06/1998,5.46
22/06/1998,5.52
23/06/1998,5.475
24/06/1998,5.446
25/06/1998,5.636
26/06/1998,5.875
29/06/1998,5.88
30/06/1998,5.97045
01/07/1998,6.02
02/07/1998,6.3418
03/07/1998,6.36
06/07/1998,6.465
07/07/1998,6.175
08/07/1998,6.12
09/07/1998,6.28
10/07/1998,6.365
13/07/1998,6.145
14/07/1998,6.005
15/07/1998,6.1075
16/07/1998,6.2
17/07/1998,6.32
20/07/1998,6.21
21/07/1998,6.3375
22/07/1998,6.23
23/07/1998,6.24
24/07/1998,6.15
27/07/1998,6.255
28/07/1998,6.25525
29/07/1998,6.18
30/07/1998,6.135
31/07/1998,6.125
03/08/1998,6.1775
04/08/1998,6.1775
05/08/1998,6.155
06/08/1998,6.21
07/08/1998,6.29
10/08/1998,6.285
11/08/1998,6.35
12/08/1998,6.38
13/08/1998,6.285
14/08/1998,6.29775
17/08/1998,6.285
18/08/1998,6.26
19/08/1998,6.32165
20/08/1998,6.3525
21/08/1998,6.36525
24/08/1998,6.28275
25/08/1998,6.28025
26/08/1998,6.38975
27/08/1998,6.65
28/08/1998,6.515
31/08/1998,6.51975
01/09/1998,6.25775
02/09/1998,6.24
03/09/1998,6.225
04/09/1998,6.21
07/09/1998,6.155
08/09/1998,6.23
09/09/1998,6.235
10/09/1998,6.3075
11/09/1998,6.275
14/09/1998,6.235
15/09/1998,6.16
16/09/1998,6.1
17/09/1998,6.14275
18/09/1998,6.135
21/09/1998,6.12525
22/09/1998,5.945
23/09/1998,5.89
24/09/1998,5.8
25/09/1998,5.825
28/09/1998,5.83
29/09/1998,5.83
30/09/1998,5.95
01/10/1998,6.12525
02/10/1998,6.065
05/10/1998,6.065
06/10/1998,5.985
07/10/1998,5.74
08/10/1998,5.79
09/10/1998,5.77
12/10/1998,5.785
13/10/1998,5.77175
14/10/1998,5.68
15/10/1998,5.585
16/10/1998,5.69
19/10/1998,5.645
20/10/1998,5.705
21/10/1998,5.71
22/10/1998,5.71
23/10/1998,5.74
26/10/1998,5.74975
27/10/1998,5.745
28/10/1998,5.73525
29/10/1998,5.72
30/10/1998,5.59
02/11/1998,5.64
03/11/1998,5.6225
04/11/1998,5.5825
05/11/1998,5.58025
06/11/1998,5.50025
09/11/1998,5.565
10/11/1998,5.66
11/11/1998,5.71
12/11/1998,5.72125
13/11/1998,5.70525
16/11/1998,5.67025
17/11/1998,5.7
18/11/1998,5.67275
19/11/1998,5.64025
20/11/1998,5.6075
23/11/1998,5.675
24/11/1998,5.69
25/11/1998,5.685
26/11/1998,5.6975
27/11/1998,5.7
30/11/1998,5.6955
01/12/1998,5.6535
02/12/1998,5.6775
03/12/1998,5.705
04/12/1998,5.875
07/12/1998,5.915
08/12/1998,6.03025
09/12/1998,5.995
10/12/1998,5.96
11/12/1998,5.965
14/12/1998,6.03775
15/12/1998,6.03
16/12/1998,6.01
17/12/1998,5.87775
18/12/1998,5.90525
21/12/1998,5.91
22/12/1998,5.91975
23/12/1998,5.91975
24/12/1998,5.91525
25/12/1998,5.91525
28/12/1998,5.88
29/12/1998,5.87775
30/12/1998,5.87
31/12/1998,5.89025
01/01/1999,5.89025
04/01/1999,5.8625
05/01/1999,5.767
06/01/1999,5.685
07/01/1999,5.77275
08/01/1999,5.83775
11/01/1999,5.9725
12/01/1999,6.05
13/01/1999,6.15
14/01/1999,6.31775
15/01/1999,5.95525
18/01/1999,6.01
19/01/1999,6.03275
20/01/1999,6.02275
21/01/1999,6.08025
22/01/1999,6.03775
25/01/1999,6.04
26/01/1999,6.015
27/01/1999,6.03525
28/01/1999,6.03025
29/01/1999,6.06225
01/02/1999,6.03
02/02/1999,6.0125
03/02/1999,6.01
04/02/1999,6.04
05/02/1999,5.93525
08/02/1999,6
09/02/1999,6.08525
10/02/1999,6.09525
11/02/1999,6.07775
12/02/1999,6.095
15/02/1999,6.115
16/02/1999,6.13775
17/02/1999,6.175
18/02/1999,6.17525
19/02/1999,6.26775
22/02/1999,6.20525
23/02/1999,6.22
24/02/1999,6.1975
25/02/1999,6.17525
26/02/1999,6.19025
