Date;zarusd
Dec-70;71.43
Jan-71;71.4
Feb-71;71
Mar-71;70.98
Apr-71;70.99
May-71;70.97
Jun-71;70.97
Jul-71;70.97
Aug-71;71.1
Sep-71;71.34
Oct-71;71.34
Nov-71;71.34
Dec-71;73.39
Jan-72;76.08
Feb-72;75.08
Mar-72;74.65
Apr-72;74.88
May-72;74.81
Jun-72;75.3
Jul-72;79.98
Aug-72;79.75
Sep-72;80
Oct-72;80.33
Nov-72;78.28
Dec-72;78.28
Jan-73;78.28
Feb-73;73.5
Mar-73;70.46
Apr-73;70.46
May-73;70.46
Jun-73;67.43
Jul-73;67.12
Aug-73;67.12
Sep-73;67.12
Oct-73;67.12
Nov-73;67.12
Dec-73;67.12
Jan-74;67.12
Feb-74;67.12
Mar-74;67.12
Apr-74;67.12
May-74;67.12
Jun-74;67
Jul-74;66.67
Aug-74;67.96
Sep-74;69.93
Oct-74;69.93
Nov-74;69.35
Dec-74;68.96
Jan-75;68.75
Feb-75;67.82
Mar-75;67.12
Apr-75;67.9
May-75;68.03
Jun-75;68.35
Jul-75;71.43
Aug-75;71.43
Sep-75;76.09
Oct-75;86.96
Nov-75;86.96
Dec-75;86.96
Jan-76;86.96
Feb-76;86.96
Mar-76;86.96
Apr-76;86.96
May-76;86.96
Jun-76;86.96
Jul-76;86.96
Aug-76;86.96
Sep-76;86.96
Oct-76;86.96
Nov-76;86.96
Dec-76;86.96
Jan-77;86.96
Feb-77;86.96
Mar-77;86.96
Apr-77;86.96
May-77;86.96
Jun-77;86.96
Jul-77;86.96
Aug-77;86.96
Sep-77;86.96
Oct-77;86.96
Nov-77;86.96
Dec-77;86.96
Jan-78;86.96
Feb-78;86.96
Mar-78;86.96
Apr-78;86.96
May-78;86.96
Jun-78;86.96
Jul-78;86.96
Aug-78;86.96
Sep-78;86.96
Oct-78;86.96
Nov-78;86.96
Dec-78;86.96
Jan-79;86.96
Feb-79;85.58
Mar-79;84.37
Apr-79;84.71
May-79;84.56
Jun-79;84.48
Jul-79;84.36
Aug-79;83.74
Sep-79;83.23
Oct-79;82.75
Nov-79;82.95
Dec-79;82.75
Jan-80;82.13
Feb-80;81.37
Mar-80;80.88
Apr-80;80.63
May-80;79.01
Jun-80;77.5
Jul-80;76.45
Aug-80;76.01
Sep-80;75.31
Oct-80;75.03
Nov-80;75.03
Dec-80;75.24
Jan-81;74.84
Feb-81;77.26
Mar-81;79.02
Apr-81;81.01
May-81;83.68
Jun-81;86.81
Jul-81;92.07
Aug-81;95.02
Sep-81;94.66
Oct-81;95.47
Nov-81;96.24
Dec-81;96.94
Jan-82;96.61
Feb-82;98
Mar-82;101.96
Apr-82;105.24
May-82;106.23
Jun-82;111.49
Jul-82;114.79
Aug-82;115.11
Sep-82;115.06
Oct-82;115.93
Nov-82;114.09
Dec-82;108.55
Jan-83;106.52
Feb-83;109.72
Mar-83;108.96
Apr-83;109.3
May-83;108.3
Jun-83;109.04
Jul-83;109.6
Aug-83;111.53
Sep-83;111.28
Oct-83;112.32
Nov-83;118.76
Dec-83;121.61
Jan-84;125.47
Feb-84;122.99
Mar-84;121.58
Apr-84;124.61
May-84;127.62
Jun-84;130.55
Jul-84;149.28
Aug-84;157.28
Sep-84;165.92
Oct-84;176.4
Nov-84;180.28
Dec-84;188.86
Jan-85;216.26
Feb-85;196.23
Mar-85;199.24
Apr-85;193.35
May-85;199.04
Jun-85;197.59
Jul-85;195.2
Aug-85;234.74
Sep-85;248.82
Oct-85;259.47
Nov-85;265.53
Dec-85;267.95
Jan-86;235.29
Feb-86;208.59
Mar-86;202.47
Apr-86;204.79
May-86;218.87
Jun-86;252.85
Jul-86;254.84
Aug-86;259.4
Sep-86;231.37
Oct-86;224.52
Nov-86;225.07
Dec-86;222.12
Jan-87;208.77
Feb-87;208.07
Mar-87;207.04
Apr-87;201.45
May-87;200.32
Jun-87;202.22
Jul-87;205.85
Aug-87;207.6
Sep-87;204.37
Oct-87;204.83
Nov-87;197.32
Dec-87;194.97
Jan-88;197.28
Feb-88;204.79
Mar-88;213.13
Apr-88;214.36
May-88;220.8
Jun-88;226.81
Jul-88;239.12
Aug-88;245.22
Sep-88;245.22
Oct-88;246.61
Nov-88;239.35
Dec-88;234.41
Jan-89;238.61
Feb-89;245.94
Mar-89;253.61
Apr-89;254.58
May-89;267.81
Jun-89;278.47
Jul-89;269.54
Aug-89;272.04
Sep-89;278.63
Oct-89;267.24
Nov-89;262.81
Dec-89;257.4
Jan-90;255.62
Feb-90;254.52
Mar-90;261.3
Apr-90;265.53
May-90;264.48
Jun-90;266.45
Jul-90;262.95
Aug-90;257.33
Sep-90;257
Oct-90;254.45
Nov-90;252.4
Dec-90;253.16
Jan-91;256.28
Feb-91;253.87
Mar-91;264.76
Apr-91;274.05
May-91;279.49
Jun-91;286.45
Jul-91;288.1
Aug-91;287.11
Sep-91;283.61
Oct-91;283.05
Nov-91;279.49
Dec-91;276.78
Jan-92;277.93
Feb-92;281.53
Mar-92;288.1
Apr-92;287.85
May-92;284.74
Jun-92;280.98
Jul-92;275.33
Aug-92;276.32
Sep-92;279.8
Oct-92;288.35
Nov-92;299.58
Dec-92;301.39
Jan-93;306.84
Feb-93;312.01
Mar-93;317.86
Apr-93;316.76
May-93;317.56
Jun-93;323.38
Jul-93;335.01
Aug-93;336.46
Sep-93;340.72
Oct-93;339.51
Nov-93;336.42
Dec-93;337.5
Jan-94;340.93
Feb-94;345.03
Mar-94;345.35
Apr-94;358.52
May-94;362.54
Jun-94;362.53
Jul-94;366.82
Aug-94;359.94
Sep-94;355.64
Oct-94;353.87
Nov-94;352.41
Dec-94;356.01
Jan-95;353.8
Feb-95;355.93
Mar-95;359.92
Apr-95;360.06
May-95;365.8
Jun-95;366.19
Jul-95;364.07
Aug-95;364.08
Sep-95;366.2
Oct-95;365.09
Nov-95;364.75
Dec-95;366.5
Jan-96;364.1
Feb-96;374
Mar-96;392.82
Apr-96;420.57
May-96;437.27
Jun-96;435.02
Jul-96;438.88
Aug-96;452.4
Sep-96;449.68
Oct-96;457.26
Nov-96;465.56
Dec-96;468.16
Jan-97;464.42
Feb-97;445.27
Mar-97;443.61
Apr-97;444.12
May-97;446.83
Jun-97;449.81
Jul-97;455.74
Aug-97;468.41
Sep-97;469.01
Oct-97;470.9
Nov-97;483.61
Dec-97;487.07
Jan-98;493.91
Feb-98;493.57
Mar-98;497.11
Apr-98;504.61
May-98;509.18
Jun-98;536.09
Jul-98;623.86
Aug-98;632.26
Sep-98;612.15
Oct-98;580.71
Nov-98;565.95
Dec-98;588.57
Jan-99;598.35
Feb-99;611.07
Mar-99;620.9
Apr-99;611.33
May-99;618.15
Jun-99;608.83
Jul-99;610.6
Aug-99;612.95
Sep-99;605.93
Oct-99;609.28
Nov-99;613.74
Dec-99;614.6
Jan-00;611.94
Feb-00;631.56
Mar-00;645.97
Apr-00;661.2
May-00;702.05
Jun-00;692.74
Jul-00;687.62
Aug-00;695.14
Sep-00;716.14
Oct-00;746.73
